City,Cloud Coverage,City Country,City DateTime,Humidity,City Latitude,City Longitude,Max Temperature,Wind Speed
Muisne,75,EC,1637639254,80,0.6,-80.0333,72.37,6.06
Kuzino,100,RU,1637639254,91,57.0224,59.4412,19.63,12.5
Pecos,1,US,1637639255,30,31.4229,-103.4932,57.31,4.61
Ponta do Sol,93,PT,1637639255,70,32.6667,-17.1,67.71,6.33
Diffa,4,NE,1637639255,30,13.3154,12.6113,74.17,9.28
Santa Vitória do Palmar,10,BR,1637639256,66,-33.5189,-53.3681,64.11,15.64
Pokaran,0,IN,1637639257,10,26.9167,71.9167,76.46,4.5
Pout,59,SN,1637639257,78,14.7739,-17.0603,76.98,9.22
Bilozerka,100,UA,1637639257,73,46.6248,32.4425,43.5,9.01
Smithers,75,CA,1637639258,60,54.7804,-127.1743,37.72,0.0
High Level,90,CA,1637639088,85,58.5169,-117.136,10.51,8.05
Autazes,97,BR,1637639258,95,-3.5797,-59.1306,73.58,2.3
Ossora,100,RU,1637639259,96,59.2353,163.0719,24.33,13.6
Angoche,36,MZ,1637639259,76,-16.2325,39.9086,78.71,6.35
Naroda,1,IN,1637639260,73,23.0833,72.6667,76.96,5.75
Itupiranga,74,BR,1637639261,89,-5.1347,-49.3267,74.75,1.32
Djibouti,99,DJ,1637639261,76,11.5,42.5,71.02,6.69
Ko Samui,40,TH,1637639262,94,9.5357,99.9357,80.51,16.11
Cayenne,75,GF,1637639262,85,4.9333,-52.3333,81.09,1.01
Manzhouli,1,CN,1637639263,60,49.6,117.4333,9.99,13.69
Ambunti,47,PG,1637639263,77,-4.2365,142.8448,86.61,0.22
The Valley,94,AI,1637639264,70,18.217,-63.0578,80.1,14.34
Mago,100,RU,1637639264,85,53.2514,140.1822,32.95,24.65
Mackay,90,AU,1637639265,89,-21.15,149.2,83.68,6.91
Kalmunai,100,LK,1637639265,88,7.4167,81.8167,77.36,6.76
Zhicheng,99,CN,1637639265,36,30.2956,111.5047,55.71,2.84
Ponnāni,73,IN,1637639266,80,10.767,75.9252,83.52,2.35
Kānker,9,IN,1637639266,66,20.2719,81.4931,79.36,2.53
Vardø,100,NO,1637639267,48,70.3705,31.1107,19.6,17.98
North Myrtle Beach,1,US,1637639267,93,33.816,-78.68,50.05,5.75
Mungwi,59,ZM,1637639267,74,-10.1732,31.3694,68.02,2.44
Ludvika,91,SE,1637639268,72,60.1496,15.1878,35.6,6.2
Bafra,82,TR,1637639268,65,41.5678,35.9069,42.58,6.33
Kamsack,100,CA,1637639269,89,51.5667,-101.9009,25.25,15.28
Umm Bāb,23,QA,1637639269,59,25.2142,50.8072,69.48,7.4
Oranjemund,99,NA,1637639270,77,-28.55,16.4333,63.72,7.9
Cidreira,9,BR,1637639270,79,-30.1811,-50.2056,68.7,8.39
Turhal,50,TR,1637639271,69,40.3875,36.0811,35.58,4.03
Yerbogachën,51,RU,1637639233,80,61.2767,108.0108,-1.17,9.37
Ghanzi,84,BW,1637639272,21,-21.5667,21.7833,66.18,7.92
Dryden,1,CA,1637639272,85,49.7833,-92.7503,10.69,3.44
Port Macquarie,63,AU,1637639129,74,-31.4333,152.9167,75.88,6.71
Pochutla,99,MX,1637639273,87,15.7432,-96.4661,77.85,4.23
Ouésso,96,CG,1637639273,92,1.6136,16.0517,69.64,0.69
Pāsighāt,96,IN,1637639273,63,28.0667,95.3333,71.65,1.3
Pacific Grove,1,US,1637638996,43,36.6177,-121.9166,62.31,1.99
Lata,1,PT,1637639070,81,40.1629,-8.3327,45.81,3.31
Pangoa,99,PE,1637639274,99,-12.1167,-73.0,68.47,2.62
Liwale,90,TZ,1637639275,80,-9.7667,37.9333,71.22,5.17
Ulladulla,100,AU,1637639275,70,-35.35,150.4667,72.77,9.8
Marabu,40,MY,1637639230,94,4.4148,114.0089,80.74,3.44
Kaputa,73,ZM,1637639276,87,-8.4689,29.6619,68.05,3.22
Correntina,99,BR,1637639276,94,-13.3433,-44.6367,71.44,2.84
Ambon City,40,ID,1637639276,66,-3.6954,128.1814,87.94,6.91
Mehamn,100,NO,1637639277,66,71.0357,27.8492,20.75,7.87
Bairiki Village,75,KI,1637639278,74,1.3292,172.9752,84.2,9.22
Yar-Sale,100,RU,1637639278,96,66.8333,70.8333,14.76,5.75
Kilindoni,67,TZ,1637639278,67,-7.9139,39.6668,80.1,7.83
Tonantins,100,BR,1637639279,98,-2.8731,-67.8022,73.11,0.22
Dieburg,6,DE,1637639280,85,49.8989,8.8444,34.41,3.18
Soyo,100,AO,1637639281,88,-6.1349,12.3689,77.18,2.93
Krivosheino,100,RU,1637639281,90,57.3431,83.9261,28.74,14.0
Ranong,100,TH,1637639281,92,9.9658,98.6348,76.93,6.78
Manicoré,100,BR,1637639282,98,-5.8092,-61.3003,73.9,2.48
Hukuntsi,4,BW,1637639282,28,-24.0,21.75,60.13,7.56
Onega,73,RU,1637639283,74,63.9061,38.1404,20.43,14.79
Grindavik,75,IS,1637639283,75,63.8424,-22.4338,39.67,14.97
Turochak,100,RU,1637639283,77,52.2576,87.1224,31.26,3.44
Brownsville,1,US,1637639284,85,25.9018,-97.4975,62.55,4.61
Japura,100,ID,1637639284,54,-0.3167,102.35,90.84,1.79
Vezirköprü,78,TR,1637639285,78,41.1436,35.4547,37.89,3.09
Tual,35,ID,1637639285,72,-5.6667,132.75,83.79,4.5
Ishigaki,75,JP,1637639286,82,24.3448,124.1572,66.33,14.97
Leticia,40,CO,1637639203,100,-4.2153,-69.9406,75.25,0.0
Ponta Delgada,40,PT,1637639190,94,37.7333,-25.6667,68.5,13.8
Ouahigouya,3,BF,1637639286,21,13.5828,-2.4216,74.48,10.6
Srednekolymsk,60,RU,1637639287,99,67.45,153.6833,-30.95,4.97
Viedma,8,AR,1637639287,66,-40.8135,-62.9967,49.93,7.65
Gwadar,34,PK,1637639288,30,25.1216,62.3254,76.73,6.98
Ambilobe,77,MG,1637639289,69,-13.2,49.05,78.85,4.16
Maniitsoq,7,GL,1637639289,70,65.4167,-52.9,17.28,10.16
Caucayá,100,CO,1637639289,98,-0.1934,-74.7819,72.79,2.24
Walsrode,99,DE,1637639290,92,52.8667,9.6,44.15,9.19
Asău,100,RO,1637639290,83,46.4333,26.4,42.96,3.27
Airai,86,TL,1637639291,48,-8.9266,125.4092,77.95,2.28
Richards Bay,100,ZA,1637639291,89,-28.783,32.0377,69.21,10.76
Northam,10,GB,1637639292,78,51.0333,-4.2167,41.31,5.01
Poum,100,NC,1637639002,74,-20.2333,164.0167,78.33,2.91
Naze,90,JP,1637639292,64,28.3667,129.4833,61.72,14.85
Hirānagar,0,IN,1637639293,25,32.45,75.2667,66.51,0.85
Vostok,100,RU,1637639155,90,46.4856,135.8833,10.8,14.23
Riyadh,13,SA,1637639293,58,24.6877,46.7219,64.54,8.01
Dourbali,41,TD,1637639294,25,11.8091,15.8632,75.15,8.16
Hīt,2,IQ,1637639294,62,33.6416,42.8251,58.8,7.38
Geneva,75,US,1637639295,55,41.8875,-88.3054,29.98,3.0
Andenes,75,NO,1637639295,93,69.3143,16.1194,33.78,10.36
Mantamádos,95,GR,1637639295,88,39.3117,26.3339,51.93,10.94
Ayan,100,RU,1637639296,82,56.45,138.1667,25.21,34.07
Kloulklubed,89,PW,1637639296,77,7.0419,134.2556,88.3,12.88
Menongue,100,AO,1637639297,78,-14.6585,17.691,60.69,3.56
Vila do Maio,5,CV,1637639297,77,15.1333,-23.2167,77.79,16.26
Yeppoon,48,AU,1637639298,71,-23.1333,150.7333,82.18,13.47
Baie-Comeau,75,CA,1637639298,74,49.2168,-68.1489,35.08,5.75
Caravelas,100,BR,1637639299,87,-17.7125,-39.2481,69.62,3.85
Trelew,82,AR,1637639299,55,-43.249,-65.3051,50.41,11.18
Rabat,75,MA,1637639299,94,33.9911,-6.8401,60.15,0.0
Le Moule,13,GP,1637639300,72,16.3332,-61.3473,73.44,10.8
Sawankhalok,20,TH,1637639300,74,17.316,99.8319,84.09,2.3
Vestmannaeyjar,100,IS,1637639301,80,63.4427,-20.2734,42.42,13.82
Tarakan,75,ID,1637639301,79,3.3,117.6333,85.5,17.9
Show Low,1,US,1637639302,44,34.2542,-110.0298,39.88,4.61
Mikun',100,RU,1637639302,96,62.3547,50.0771,19.17,4.52
Tigil',5,RU,1637639302,87,57.8,158.6667,15.39,1.68
Kaspiysk,0,RU,1637639303,80,42.8816,47.6392,35.78,6.71
Ubari,87,LY,1637639304,43,26.5921,12.7805,62.53,5.44
Manggar,100,ID,1637639304,59,-2.8833,108.2667,88.09,1.74
Gold Coast,45,AU,1637639244,83,-28.0,153.4333,75.38,9.44
Kumbo,60,CM,1637639305,73,6.2,10.6667,59.5,2.06
Rawson,90,AR,1637639209,56,-43.3002,-65.1023,50.81,12.06
Vuktyl,100,RU,1637639305,93,63.8567,57.3094,5.11,8.55
Maunabo,80,PR,1637639306,93,18.0072,-65.8993,78.62,7.07
‘Āhuimanu,90,US,1637639306,74,21.4447,-157.8378,80.31,13.8
Tessalit,99,ML,1637639306,33,20.1986,1.0114,72.21,7.07
Te Anau,11,NZ,1637639307,48,-45.4167,167.7167,63.21,5.46
Comodoro Rivadavia,0,AR,1637639307,40,-45.8667,-67.5,51.66,9.22
Maningrida,98,AU,1637639308,43,-12.0667,134.2667,93.49,11.52
Kuril'sk,78,RU,1637639308,67,45.2333,147.8833,39.9,26.37
Lake Shore,20,US,1637639171,55,39.1071,-76.485,39.85,3.0
Byron Bay,37,AU,1637639309,73,-28.65,153.6167,78.76,10.22
Saint-François,90,FR,1637639309,75,46.4154,3.9054,42.24,10.36
Chumikan,100,RU,1637639310,78,54.7183,135.315,26.13,36.17
Porto Nacional,98,BR,1637639310,94,-10.7081,-48.4172,78.8,1.34
Mergen,100,CN,1637639311,87,49.1833,125.2167,14.54,20.09
Chipinge,100,ZW,1637639311,98,-20.1883,32.6236,64.17,3.91
Kahului,75,US,1637639092,88,20.8947,-156.47,79.86,18.41
Mrągowo,89,PL,1637639312,81,53.8644,21.3051,32.0,13.65
Xishan,22,CN,1637639312,51,27.6667,113.5,53.49,2.68
Çeşme,40,TR,1637639313,82,38.3228,26.3064,64.11,5.75
Butembo,45,CD,1637639313,96,0.15,29.2833,55.53,2.1
Gönen,90,TR,1637639314,78,40.1049,27.654,49.96,6.71
Vilyuysk,99,RU,1637639314,97,63.7553,121.6247,-17.18,1.99
Matara,87,LK,1637639314,69,5.9485,80.5353,84.38,4.7
Iisalmi,96,FI,1637639315,99,63.5592,27.1907,26.62,0.63
Bandarbeyla,85,SO,1637639315,63,9.4942,50.8122,78.57,12.06
Zhuhai,40,CN,1637639316,67,22.2769,113.5678,62.98,21.85
Olinda,40,BR,1637639316,78,-8.0089,-34.8553,80.33,6.91
Kieta,77,PG,1637639317,71,-6.2167,155.6333,84.52,4.59
Omsukchan,57,RU,1637639317,90,62.5333,155.8,-13.09,0.96
Paragominas,100,BR,1637639297,86,-2.9667,-47.4833,74.16,3.38
Río Gallegos,0,AR,1637639318,49,-51.6226,-69.2181,44.65,5.75
Pustoshka,98,RU,1637639318,57,56.3355,29.369,26.4,6.42
Sabang,94,ID,1637639318,73,5.8933,95.3214,82.06,10.04
Sovetskiy,99,RU,1637639319,97,61.3614,63.5842,12.96,4.21
Muros,60,ES,1637639319,78,42.7762,-9.0603,52.84,17.85
Kostalexis,100,GR,1637639320,100,38.8579,22.3646,56.08,1.68
Abalak,100,RU,1637639320,93,58.1286,68.5944,18.99,9.46
Kyaikkami,23,MM,1637639320,68,16.08,97.5675,84.31,6.78
Dongying,0,CN,1637639321,28,37.4564,118.4856,43.25,11.72
Miramar,1,US,1637639268,88,25.9873,-80.2323,71.62,3.44
Carballo,90,ES,1637639321,86,43.213,-8.691,52.56,14.32
Sandviken,93,SE,1637639322,85,60.6167,16.7667,36.43,4.68
Ilulissat,87,GL,1637639322,62,69.2167,-51.1,17.62,14.97
Qaqortoq,4,GL,1637639323,83,60.7167,-46.0333,23.5,5.5
Pasinler,1,TR,1637639323,83,39.9803,41.6764,18.59,2.89
La Ronge,90,CA,1637639324,86,55.1001,-105.2842,17.85,13.8
Córdoba,0,AR,1637639324,49,-31.4135,-64.1811,74.25,6.91
Nanortalik,5,GL,1637639324,74,60.1432,-45.2371,20.86,13.98
Valencia,100,ES,1637639325,91,39.3333,-0.8333,50.68,7.52
Sungai Padi,99,TH,1637639325,74,6.0851,101.8766,82.24,1.92
Hailey,1,US,1637639125,68,43.5196,-114.3153,31.86,8.05
Awjilah,100,LY,1637639326,48,29.1081,21.2869,60.93,10.0
Broome,1,US,1637639160,70,42.2506,-75.833,29.91,1.01
Yei,11,SS,1637639327,77,4.095,30.6779,65.37,1.41
Auki,100,SB,1637639080,73,-8.7676,160.7034,82.87,3.98
Phetchabun,16,TH,1637639327,58,16.25,101.0833,84.47,7.11
Laas,65,IT,1637639328,89,46.6166,10.7002,40.08,2.93
Chapais,100,CA,1637639266,89,49.7834,-74.8492,13.78,10.67
Breyten,100,ZA,1637639329,93,-26.3018,29.987,56.46,5.57
Kaeo,95,NZ,1637639329,65,-35.1,173.7833,68.45,4.43
Camaná,100,PE,1637639329,86,-16.6228,-72.7111,65.61,5.28
Devils Lake,1,US,1637639330,79,48.1128,-98.8651,29.95,7.0
Coruripe,13,BR,1637639330,80,-10.1256,-36.1756,76.75,8.95
Conceição do Araguaia,100,BR,1637639331,92,-8.2578,-49.2647,74.05,0.4
